order_id,timestamp,agent_type,symbol,side,order_type,price,quantity
AAPL_ORD_00000001,2025-08-21T22:12:00+00:00,institutional,AAPL,SELL,LIMIT,99.48650974257613,231
AAPL_ORD_00000002,2025-08-21T22:12:00+00:00,institutional,AAPL,SELL,LIMIT,99.45044299053133,210
AAPL_ORD_00000003,2025-08-21T22:12:00+00:00,hft,AAPL,SELL,MARKET,99.40965645425759,253
AAPL_ORD_00000004,2025-08-21T22:12:00+00:00,institutional,AAPL,BUY,LIMIT,99.33564623785794,471
AAPL_ORD_00000005,2025-08-21T22:12:00+00:00,hft,AAPL,BUY,LIMIT,99.37000070209062,168
AAPL_ORD_00000006,2025-08-21T22:12:00+00:00,retail,AAPL,BUY,MARKET,99.40965645425759,114
AAPL_ORD_00000007,2025-08-21T22:12:00+00:00,retail,AAPL,BUY,LIMIT,99.36892711564565,857
AAPL_ORD_00000008,2025-08-21T22:12:00+00:00,institutional,AAPL,BUY,MARKET,99.40965645425759,321
AAPL_ORD_00000009,2025-08-21T22:12:00+00:00,retail,AAPL,BUY,LIMIT,99.36176230943717,632
AAPL_ORD_00000010,2025-08-21T22:12:00+00:00,institutional,AAPL,SELL,MARKET,99.40965645425759,202
AAPL_ORD_00000011,2025-08-21T22:12:00+00:00,retail,AAPL,SELL,MARKET,99.40965645425759,140
AAPL_ORD_00000012,2025-08-21T22:12:00+00:00,retail,AAPL,SELL,MARKET,99.40965645425759,1128
AAPL_ORD_00000013,2025-08-21T22:12:00+00:00,hft,AAPL,SELL,LIMIT,99.44198454848818,421
AAPL_ORD_00000014,2025-08-21T22:12:00+00:00,retail,AAPL,BUY,LIMIT,99.370962739813,235
AAPL_ORD_00000015,2025-08-21T22:12:00+00:00,institutional,AAPL,SELL,LIMIT,99.45371711478975,55
AAPL_ORD_00000016,2025-08-21T22:12:00+00:00,retail,AAPL,BUY,LIMIT,99.34783050254468,155
