id,trade_id,timestamp,symbol,price,quantity,buy_order_id,sell_order_id,buy_agent_id,sell_agent_id,aggressor_side,market_impact
1,TRD_20240102_093000_000001,2024-01-02 09:30:00,AAPL,150.21,50,ORD_hft_0001_20240102_093000_3588,ORD_hft_0010_20240102_093000_5360,hft_0001,hft_0010,BUY,0.0013835535395837577
2,TRD_20240102_093100_000002,2024-01-02 09:31:00,GOOGL,2496.81,40,ORD_hft_0006_20240102_093100_2284,ORD_retail_0244_20240102_093100_8261,hft_0006,retail_0244,SELL,0.0012494991233150488
3,TRD_20240102_093100_000003,2024-01-02 09:31:00,GOOGL,2497.42,40,ORD_hft_0009_20240102_093100_1553,ORD_retail_0244_20240102_093100_8261,hft_0009,retail_0244,SELL,0.0002443117417825655
4,TRD_20240102_093100_000004,2024-01-02 09:31:00,GOOGL,2499.51,40,ORD_hft_0025_20240102_093100_8272,ORD_retail_0244_20240102_093100_8261,hft_0025,retail_0244,SELL,0.0008368636432799231
5,TRD_20240102_093100_000005,2024-01-02 09:31:00,GOOGL,2499.81,40,ORD_hft_0051_20240102_093100_5872,ORD_retail_0244_20240102_093100_8261,hft_0051,retail_0244,SELL,0.00012002352461071456
6,TRD_20240102_093100_000006,2024-01-02 09:31:00,AAPL,150.03,310,ORD_hft_0021_20240102_093100_7507,ORD_hft_0009_20240102_093100_4932,hft_0021,hft_0009,SELL,0.0012057509686626987
7,TRD_20240102_093100_000007,2024-01-02 09:31:00,AAPL,150.09,106,ORD_hft_0022_20240102_093100_5876,ORD_hft_0009_20240102_093100_4932,hft_0022,hft_0009,SELL,0.0003999200159968158
8,TRD_20240102_093100_000008,2024-01-02 09:31:00,AAPL,150.05,108,ORD_hft_0029_20240102_093100_9733,ORD_hft_0009_20240102_093100_4932,hft_0029,hft_0009,SELL,0.0002665067626090482
9,TRD_20240102_093100_000009,2024-01-02 09:31:00,AAPL,149.99,50,ORD_hft_0031_20240102_093100_8654,ORD_hft_0009_20240102_093100_4932,hft_0031,hft_0009,SELL,0.00039986671109631635
10,TRD_20240102_093100_000010,2024-01-02 09:31:00,AAPL,150.2,170,ORD_hft_0044_20240102_093100_6817,ORD_hft_0009_20240102_093100_4932,hft_0044,hft_0009,SELL,0.0014000933395558338
11,TRD_20240102_093100_000011,2024-01-02 09:31:00,AAPL,150.1,256,ORD_hft_0053_20240102_093100_1429,ORD_hft_0009_20240102_093100_4932,hft_0053,hft_0009,SELL,0.0006657789613847824
12,TRD_20240102_093100_000012,2024-01-02 09:31:00,AAPL,150.18,325,ORD_hft_0059_20240102_093100_8337,ORD_hft_0009_20240102_093100_4932,hft_0059,hft_0009,SELL,0.0005329780146569788
13,TRD_20240102_093200_000013,2024-01-02 09:32:00,GOOGL,2499.64,42,ORD_retail_0031_20240102_093200_1047,ORD_hft_0015_20240102_093200_1374,retail_0031,hft_0015,SELL,6.311713048854614e-05
14,TRD_20240102_093200_000014,2024-01-02 09:32:00,GOOGL,2499.8,50,ORD_hft_0023_20240102_093200_3616,ORD_hft_0015_20240102_093200_1374,hft_0023,hft_0015,BUY,6.400921732741884e-05
15,TRD_20240102_093200_000015,2024-01-02 09:32:00,GOOGL,2499.48,88,ORD_hft_0027_20240102_093200_1430,ORD_hft_0015_20240102_093200_1374,hft_0027,hft_0015,SELL,0.00012801024081933102
16,TRD_20240102_093200_000016,2024-01-02 09:32:00,GOOGL,2499.8,299,ORD_hft_0028_20240102_093200_4844,ORD_hft_0015_20240102_093200_1374,hft_0028,hft_0015,BUY,0.0001280266295390096
